選手ID,選手名,WBCチーム,ポジション,背番号,生年月日,年齢,身長（cm）,体重（kg）,打席,投球腕,出身国,MLBチーム,MLB初出場年,MLB経験年数
649963,Bo Takahashi,Brazil,P,26,1997-01-23,29,183,102,R,R,Brazil,Louisville Bats,,
627393,Oscar Nakaoshi,Brazil,P,41,1991-03-28,35,180,83,L,L,Brazil,Adelaide Giants,,
672074,Vitor Ito,Brazil,SS,1,1995-02-16,31,178,81,L,R,Brazil,,,
672078,Eric Pardinho,Brazil,P,43,2001-01-05,25,178,70,R,R,Brazil,Tiburones de La Guaira,,
822885,Caio De Araujo,Brazil,P,8,2002-02-07,24,188,102,R,R,Brazil,,,
547921,Tiago Da Silva,Brazil,P,22,1985-03-28,41,175,82,R,R,Brazil,Guerreros de Oaxaca,,
806238,Gabriel Gomes,Brazil,C,28,2004-03-31,22,175,77,R,R,Brazil,ACL Reds,,
600986,Thyago Vieira,Brazil,P,49,1993-01-07,33,190,117,R,R,Brazil,Reno Aces,2017,9
838355,Tomas Lopez,Brazil,P,35,2004-12-10,21,193,98,R,R,USA,,,
838357,Enzo Hayashida,Brazil,C,20,2008-01-01,18,173,82,R,R,Brazil,,,
682858,Gabriel Barbosa,Brazil,P,31,2002-01-22,24,183,91,R,R,Brazil,Jersey Shore BlueClaws,,
553891,Leonardo Reginatto,Brazil,3B,5,1990-04-10,35,188,85,R,R,Brazil,Olmecas de Tabasco,,
624531,Lucas Rojo,Brazil,2B,15,1994-04-05,31,168,68,R,R,Brazil,VSL Phillies,,
836637,Vitor Takahashi,Brazil,P,40,2008-03-11,18,183,96,R,R,Brazil,,,
605142,Dante Bichette Jr.,Brazil,DH,77,1992-09-26,33,188,93,R,R,USA,Washington Nationals,,
627387,Hugo Kanabushi,Brazil,P,66,1989-05-22,36,180,82,L,L,Brazil,,,
683844,Matheus Silva,Brazil,C,13,2002-06-12,23,170,94,R,R,Brazil,DSL Athletics,,
678685,Victor Mascai,Brazil,LF,17,2001-02-10,25,188,99,L,R,Brazil,Naranjeros de Hermosillo,,
828631,Joseph Contreras,Brazil,P,21,2008-05-06,17,193,88,S,R,USA,,,
806889,Felipe Koragi,Brazil,PR,2,2004-01-23,22,170,68,R,R,Brazil,International Team (18U),,
622609,Hector Villarroel,Brazil,P,4,1995-08-12,30,196,87,L,L,Venezuela,Pericos de Puebla,,
647304,Josh Naylor,Canada,1B,12,1997-06-22,28,178,107,L,L,Canada,Seattle Mariners,2019,7
518418,Phillippe Aumont,Canada,P,37,1989-01-07,37,201,120,L,R,Canada,Buffalo Bisons,2012,14
809840,Micah Ashman,Canada,P,57,2002-08-22,23,201,88,L,L,USA,Chesapeake Baysox,,
666364,Jordan Balazovic,Canada,P,16,1998-09-17,27,196,98,R,R,Canada,Toledo Mud Hens,2023,3
647228,Adam Hall,Canada,SS,2,1999-05-22,26,180,75,R,R,Bermuda,Biloxi Shuckers,,
671936,Adam Macko,Canada,P,64,2000-12-30,25,183,77,L,L,Slovakia,Buffalo Bisons,,
571602,Matt Davidson,Canada,3B,24,1991-03-26,35,190,104,R,R,USA,Las Vegas Aviators,2013,13
642239,Rob Zastryzny,Canada,P,58,1992-03-26,34,190,105,R,L,Canada,Nashville Sounds,2016,10
683363,Matt Wilkinson,Canada,P,35,2002-12-10,23,185,113,R,L,Canada,Akron RubberDucks,,
666301,Indigo Diaz,Canada,P,52,1998-10-14,27,196,113,R,R,Canada,Amarillo Sod Poodles,,
663531,Logan Allen,Canada,P,22,1997-05-23,28,190,91,R,L,USA,Oklahoma City Comets,2019,7
659418,Noah Skirrow,Canada,P,25,1998-07-21,27,190,98,R,R,Canada,Reading Fightin Phils,,
572020,James Paxton,Canada,P,65,1988-11-06,37,193,96,L,L,Canada,Boston Red Sox,2013,13
592791,Jameson Taillon,Canada,P,50,1991-11-18,34,196,104,R,R,USA,Chicago Cubs,2016,10
641933,Tyler O'Neill,Canada,RF,9,1995-06-22,30,175,91,R,R,Canada,Baltimore Orioles,2018,8
615698,Cal Quantrill,Canada,P,47,1995-02-10,31,190,88,L,R,Canada,Round Rock Express,2019,7
615699,Jacob Robson,Canada,OF,8,1994-11-20,31,178,83,L,R,Canada,Brisbane Bandits,2021,5
672012,Tyler Black,Canada,DH,7,2000-07-26,25,183,94,L,R,Canada,Nashville Sounds,2024,2
672016,Denzel Clarke,Canada,CF,1,2000-05-01,25,190,100,R,R,Canada,Athletics,2025,1
647336,Michael Soroka,Canada,P,40,1997-08-04,28,196,113,R,R,Canada,Arizona Diamondbacks,2018,8
666310,Bo Naylor,Canada,C,23,2000-02-21,26,175,93,L,R,Canada,Cleveland Guardians,2022,4
621245,Brock Dykxhoorn,Canada,P,44,1994-07-02,31,203,113,R,R,Canada,Round Rock Express,,
666397,Edouard Julien,Canada,2B,15,1999-04-30,26,185,88,L,R,Canada,Colorado Rockies,2023,3
689414,Liam Hicks,Canada,C,34,1999-06-02,26,175,84,L,R,Canada,Miami Marlins,2025,1
647351,Abraham Toro,Canada,3B,31,1996-12-20,29,183,101,S,R,Canada,Omaha Storm Chasers,2019,7
683357,Owen Caissie,Canada,LF,21,2002-07-08,23,193,86,L,R,Canada,Miami Marlins,2025,1
683328,Antoine Jean,Canada,P,14,2001-08-01,24,188,86,R,L,Canada,Spokane Indians,,
672021,Eric Cerantola,Canada,P,61,2000-05-02,25,196,102,R,R,Canada,Omaha Storm Chasers,,
676724,Jared Young,Canada,OF,29,1995-07-09,30,188,91,L,R,Canada,New York Mets,2022,4
672640,Otto Lopez,Canada,SS,6,1998-10-01,27,178,84,R,R,Dominican Republic,Miami Marlins,2021,5
668144,Claudio Scotti,Italy,P,98,1998-07-08,27,193,95,R,R,Italy,St. Lucie Mets,,
700669,Gordon Graceffo,Italy,P,44,2000-03-17,26,193,100,R,R,USA,St. Louis Cardinals,2024,2
669711,Greg Weissert,Italy,P,57,1995-02-04,31,188,107,R,R,USA,Boston Red Sox,2022,4
686527,Dominic Canzone,Italy,DH,8,1997-08-16,28,183,86,L,R,USA,Seattle Mariners,2023,3
686747,Joe La Sorsa,Italy,P,75,1998-04-29,27,196,102,L,L,USA,Indianapolis Indians,2023,3
493603,Adam Ottavino,Italy,P,0,1985-11-22,40,196,112,S,R,USA,New York Yankees,2010,16
656186,Dan Altavilla,Italy,P,53,1992-09-08,33,180,107,R,R,USA,St. Paul Saints,2016,10
690626,Dylan DeLucia,Italy,P,22,2000-08-01,25,180,100,R,R,USA,Akron RubberDucks,,
691019,Kyle Teel,Italy,C,3,2002-02-15,24,180,95,L,R,USA,Chicago White Sox,2025,1
703492,Nick Morabito,Italy,OF,7,2003-05-07,22,178,84,R,R,USA,Syracuse Mets,,
805300,Jakob Marsee,Italy,CF,5,2001-06-28,24,183,82,L,L,USA,Miami Marlins,2025,1
838341,Gabriele Quattrini,Italy,P,80,1996-07-18,29,190,118,R,R,Italy,,,
670156,Miles Mastrobuoni,Italy,3B,2,1995-10-31,30,175,84,L,R,USA,Seattle Mariners,2022,4
691951,Sam Aldegheri,Italy,P,12,2001-09-19,24,185,95,L,L,Italy,Salt Lake Bees,2024,2
670036,Matt Festa,Italy,P,52,1993-03-11,33,185,88,R,R,USA,Cleveland Guardians,2018,8
695336,Thomas Saggese,Italy,SS,6,2002-04-10,23,178,84,R,R,USA,St. Louis Cardinals,2024,2
702652,Andrew Fischer,Italy,3B,11,2004-05-25,21,183,95,L,R,USA,Wisconsin Timber Rattlers,,
693312,Kyle Nicolas,Italy,P,19,1999-02-22,27,190,98,R,R,USA,Louisville Bats,2023,3
542932,Jon Berti,Italy,2B,1,1990-01-22,36,178,86,R,R,USA,Chicago Cubs,2018,8
689690,Alek Jacob,Italy,P,37,1998-06-16,27,190,86,L,R,USA,El Paso Chihuahuas,2023,3
683490,J.J. D'Orazio,Italy,C,28,2001-12-28,24,185,77,R,R,Venezuela,Rocket City Trash Pandas,,
807276,Dante Nori,Italy,LF,16,2004-10-07,21,175,86,L,L,Canada,Reading Fightin Phils,,
701305,Zach Dezenzo,Italy,3B,4,2000-05-11,25,196,100,R,R,USA,Houston Astros,2024,2
686469,Vinnie Pasquantino,Italy,1B,9,1997-10-10,28,190,111,L,L,USA,Kansas City Royals,2022,4
606331,Renzo Martini,Italy,3B,41,1992-08-25,33,185,86,R,R,Venezuela,Cardenales de Lara,,
547179,Michael Lorenzen,Italy,P,24,1992-01-04,34,185,98,R,R,USA,Colorado Rockies,2015,11
676760,Ron Marinaccio,Italy,P,97,1995-07-01,30,188,93,R,R,USA,San Diego Padres,2022,4
605400,Aaron Nola,Italy,P,27,1993-06-04,32,188,91,R,R,USA,Philadelphia Phillies,2015,11
803011,Sam Antonacci,Italy,2B,10,2003-02-06,23,180,88,L,R,USA,Charlotte Knights,,
695506,Jac Caglianone,Italy,RF,14,2003-02-09,23,193,113,L,L,USA,Kansas City Royals,2025,1
592848,Zack Weiss,Israel,P,48,1992-06-16,33,190,95,R,R,USA,Memphis Redbirds,2018,8
665152,Dean Kremer,Israel,P,64,1996-01-07,30,188,95,R,R,USA,Norfolk Tides,2020,6
687462,Spencer Horwitz,Israel,1B,13,1997-11-14,28,178,93,L,R,USA,Pittsburgh Pirates,2023,3
702302,RJ Schreck,Israel,RF,0,2000-07-12,25,183,93,L,R,USA,Buffalo Bisons,,
809780,Benjamin Rosengard,Israel,SS,22,2000-01-18,26,190,82,L,R,USA,,,
667690,C.J. Stubbs,Israel,C,36,1996-11-12,29,188,94,R,R,USA,Buffalo Bisons,2025,1
701557,Carlos Lequerica,Israel,P,40,2000-09-06,25,185,90,R,R,USA,West Michigan Whitecaps,,
696492,Ryan Prager,Israel,P,12,2002-10-26,23,190,91,L,L,USA,ACL Guardians,,
810897,Charlie Beilenson,Israel,P,5,1999-12-10,26,183,98,R,R,USA,Arkansas Travelers,,
621199,Matt Bowman,Israel,P,66,1991-05-31,34,183,84,R,R,USA,St. Paul Saints,2016,10
641739,Rob Kaminsky,Israel,P,75,1994-09-02,31,183,88,R,L,USA,Memphis Redbirds,2020,6
815084,Ben Simon,Israel,P,15,2002-03-22,24,180,89,R,R,USA,Binghamton Rumble Ponies,,
690985,Colby Halter,Israel,2B,7,2001-08-24,24,185,93,L,R,USA,Midland RockHounds,,
808953,Assaf Lowengart,Israel,OF,24,1998-03-01,28,185,88,R,R,Israel,,,
679946,Daniel Federman,Israel,P,99,1998-09-18,27,185,93,L,R,USA,Aberdeen IronBirds,,
694249,Cole Carrigg,Israel,SS,8,2002-05-08,23,188,91,S,R,USA,Albuquerque Isotopes,,
702331,Noah Mendlinger,Israel,2B,3,2000-08-09,25,170,82,L,R,USA,Springfield Cardinals,,
695256,Josh Mallitz,Israel,P,58,2001-10-20,24,190,95,R,R,USA,San Antonio Missions,,
694660,Harrison Cohen,Israel,P,18,1999-05-28,26,183,96,R,R,USA,Scranton/Wilkes-Barre RailRiders,,
805374,Tanner Jacobson,Israel,P,39,2000-01-24,26,185,86,R,R,USA,Peoria Chiefs,,
804241,Zach Levenson,Israel,LF,10,2002-03-06,24,183,96,R,R,USA,Springfield Cardinals,,
695372,Jake Gelof,Israel,3B,45,2002-02-25,24,183,88,R,R,USA,Tulsa Drillers,,
592454,Tommy Kahnle,Israel,P,43,1989-08-07,36,185,104,R,R,USA,Worcester Red Sox,2014,12
596117,Garrett Stubbs,Israel,C,21,1993-05-26,32,175,77,L,R,USA,Lehigh Valley IronPigs,2019,7
664056,Harrison Bader,Israel,CF,2,1994-06-03,31,180,99,R,R,USA,San Francisco Giants,2017,9
681671,Zack Leban,Israel,P,53,1996-05-30,29,188,107,R,R,USA,Sultanes de Monterrey,,
676661,Max Lazar,Israel,P,60,1999-06-03,26,185,91,R,R,USA,Philadelphia Phillies,2024,2
802363,Jordan Geber,Israel,P,33,1999-07-31,26,190,93,R,R,USA,Binghamton Rumble Ponies,,
670288,Jake Fishman,Israel,P,17,1995-02-08,31,190,88,L,L,USA,Toros de Tijuana,2022,4
670223,Matt Mervis,Israel,DH,52,1998-04-16,27,188,102,L,R,USA,Rochester Red Wings,2023,3
657612,Tim Hill,United States,P,54,1990-02-10,36,193,95,R,L,USA,New York Yankees,2018,8
643511,Tyler Rogers,United States,P,71,1990-12-17,35,190,82,R,R,USA,Toronto Blue Jays,2019,7
676684,Will Vest,United States,P,17,1995-06-06,30,183,82,R,R,USA,Detroit Tigers,2021,5
681508,Mickey Gasper,Italy,2B,30,1995-10-11,30,175,93,S,R,USA,Worcester Red Sox,2024,2
656546,Jeff Hoffman,United States,P,34,1993-01-08,33,196,107,R,R,USA,Toronto Blue Jays,2016,10
501625,Jose Alvarez,Venezuela,P,19,1989-05-06,36,180,88,L,L,Venezuela,Toros de Tijuana,2013,13
682175,Joe Jacques,Italy,P,34,1995-03-11,31,193,95,L,L,USA,Syracuse Mets,2023,3
677587,Brayan Rocchio,Italy,PH,13,2001-01-13,25,175,77,S,R,Venezuela,Cleveland Guardians,2023,3
